17/03/21 05:15:11 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/21 05:15:11 INFO client.RMProxy: Connecting to ResourceManager at cluster-1-m/10.138.0.4:8032
17/03/21 05:15:12 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/21 05:15:15 INFO input.FileInputFormat: Total input paths to process : 3035
17/03/21 05:15:16 INFO mapreduce.JobSubmitter: number of splits:3035
17/03/21 05:15:16 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490065343913_0003
17/03/21 05:15:16 INFO impl.YarnClientImpl: Submitted application application_1490065343913_0003
17/03/21 05:15:16 INFO mapreduce.Job: The url to track the job: http://cluster-1-m:8088/proxy/application_1490065343913_0003/
17/03/21 05:15:16 INFO mapreduce.Job: Running job: job_1490065343913_0003
17/03/21 05:15:29 INFO mapreduce.Job: Job job_1490065343913_0003 running in uber mode : false
		Total time spent by all map tasks (ms)=30749489
		Total time spent by all reduce tasks (ms)=18211202
		Total vcore-milliseconds taken by all map tasks=30749489
		Total vcore-milliseconds taken by all reduce tasks=18211202
		Total megabyte-milliseconds taken by all map tasks=94462430208
		Total megabyte-milliseconds taken by all reduce tasks=55944812544
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2812428693
		Map output materialized bytes=3233893762
		Input split bytes=488308
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3233893762
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =36420
		Failed Shuffles=0
		Merged Map outputs=36420
		GC time elapsed (ms)=674353
		CPU time spent (ms)=6462400
		Physical memory (bytes) snapshot=793101021184
		Virtual memory (bytes) snapshot=13013300396032
		Total committed heap usage (bytes)=503571345408
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=238331896
Job output is complete
