URL,size,outgoing links,content-type
https://www.nytimes.com/watching/titles/tv-shows/11942,115958,32,text/html; charset=utf-8
https://www.nytimes.com/video/world/africa/100000004941093/congolese-soldiers-reportedly-fire-on-unarmed-civilians.html,213965,77,text/html; charset=utf-8
https://www.nytimes.com/2015/02/14/sports/basketball/in-dunk-contest-tallest-competitors-face-taller-odds.html,83850,111,text/html; charset=utf-8
https://www.nytimes.com/interactive/2017/02/02/travel/what-to-do-36-hours-in-marrakesh-morocco.html,126437,57,text/html; charset=utf-8
https://www.nytimes.com/2017/01/27/sports/basketball/knicks-carmelo-anthony-trade.html?rref=collection%2Fcolumn%2FKeeping%20Score,85797,116,text/html; charset=utf-8
https://www.nytimes.com/video/travel/100000004863661/52-places-to-go-madagascar.html,200245,70,text/html; charset=utf-8
https://www.nytimes.com/watching/recommendations/planet-earth,129354,38,text/html; charset=utf-8
https://www.nytimes.com/2017/02/03/insider/what-were-reading.html,76000,113,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/us/politics/trump-candidates-top-posts.html,91739,110,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/world/europe/greece-bailout-black-market.html,87841,113,text/html; charset=utf-8
https://www.nytimes.com/video/t-magazine/fashion/100000004931769/thom-browne-dog-hector.html,179362,73,text/html; charset=utf-8
https://www.nytimes.com/2017/02/08/insider/a-good-meal-is-hard-to-find-at-least-on-new-yorks-upper-west-side.html,75738,100,text/html; charset=utf-8
https://www.nytimes.com/2017/02/13/sports/new-york-knicks-rangers.html?rref=collection%2Fcolumn%2FKeeping%20Score,94041,124,text/html; charset=utf-8
https://www.nytimes.com/interactive/2017/02/09/travel/what-to-do-36-hours-in-brooklyn-new-york.html,131924,70,text/html; charset=utf-8
https://www.nytimes.com/2017/02/06/sports/football/super-bowl-new-england-patriots-brady-and-belichick.html?rref=collection%2Fcolumn%2FKeeping%20Score,93848,120,text/html; charset=utf-8
